id	en	ja	es	de	fr	it	pt_BR	es_US	pl	zh	tr	se	en_US	ru
lp_perfect_homing_attack_sh	Press [button_attack] when the green marks overlap\nthe red circle to perform a Perfect Homing Attack.	緑マークが赤い円と重なった時に [button_attack]  を押すと\nパーフェクトホーミングアタックよ	Presiona [button_attack] cuando las marcas verdes solapen la retícula\npara realizar un Ataque Teledirigido Perfecto.	Wende eine Perfekte Homing Attack an, indem du [button_attack] drückst\nsobald sich der grüne und der rote Kreis überlappen.		Per effettuare un Attacco a Ricerca Perfetto, premi [button_attack]\nquando l'indicatore d'aggancio verde sovrappone con il cerchio rosso. 	Para realizar um Ataque Direcionado Perfeito, aperte [button_attack]\nquando as marcas verdes entrarem no circulo vermelho.	Para realizar un Ataque teledirigido perfecto, presiona [button_attack]\ncuando las guías verdes estén sobre\nel círculo rojo.	Aby wykonać Perfekcyjny Atak Naprowadzający,\nwciśnij [button_attack] kiedy zielony znak najedzie na czerwone kółko.	當綠色的符號跟紅色的圓圈重疊時，\n [button_attack] 就能發動完美追蹤攻擊。	Kusursuz Güdümlü Saldırı gerçekleştirmek için, yeşil\nişaretler kırmızı dairenin üzerine geldiğinde [button_attack] düğmesine bas.	Tryck på [button_attack] när de gröna markeringarna överlappar\nden röda cirkeln för att utföra en Perfekt Målsökande Attack.		Для выполнения идеальной Самонаводящейся атаки,\nнажмите кнопку атаки, когда зелёный\nи красный прицелы пересекутся.
lp_perfect_homing_attack2_sh	Perfect Homing Attacks travel faster and\ndo more damage than regular Homing Attacks.	「ホーミングアタックより移動速度が速く\n攻撃力が増加する」	El Ataque Teledirigido Preciso es más rápido\ny poderoso que uno estándar.	Perfekte Homing Attacks sind schneller und\nfügen Gegnern mehr Schaden zu als reguläre Homing Attacks.		L'Attacco a Ricerca Perfetto viaggia più velocemente e fà più danno degli Attacchi Mirati normali.	Ataques Direcionados Perfeitos são mais rápidos\ne causam mais dano do que Ataques Direcionados.	Los Ataques teledirigidos perfectos son más rápidos\ny hacen más daño que los normales.	Perfekcyjny Atak Naprowadzający jest szybszy\ni zadaje więcej obrażeń od zwykłego Ataku Naprowadzającego.	完美追蹤攻擊比普通追蹤攻擊移動速度更快，\n攻擊力也更高。	Kusursuz Güdümlü Saldırılar, normal Güdümlü Saldırılardan\ndaha hızlı ilerler ve daha fazla hasar verir.	Perfekta Målsökande Attacker färdas snabbare och\ngör mer skada än vanliga Målsökande Attacker.		Идеальные Самонаводящиеся атаки выполняются\nбыстрее и наносят больший урон, чем обычные\nСамонаводящиеся атаки.
lp_perfect_homing_attack3_sh	They also increase your defense while they are active.	「パーフェクトホーミングアタック中\n防御力が追加されるよ」	También aumenta tu defensa mientras lo realizas.	Währenddessen steigern sie auch deine Verteidigung.		Ti aumentano anche la difesa mentre sono attivi.	Eles também aumentam a sua defesa enquanto estiverem ativos.	También aumentan tu defensa mientras los realizas.	Zwiększają one również twoją obronę podczas gdy są aktywne.	你的防禦力也會在發動過程中提高。	Aktif oldukları süre boyunca savunmanı da artırırlar.	De stärker också ditt försvar medan de är aktiva.		Они также повышают вашу защиту, пока выполняются.
lp_volcano_slider_sh	Hold down [button_crouch] to slide.	[button_crouch] を押し続けると\nスライディングよ	Mantén presionado [button_crouch] para deslizarte.	Halte beim Bewegen [button_action] gedrückt, um zu rutschen.		Tieni premuto [button_crouch] quando ti muovi per scivolare.	Segure [button_crouch] enquanto estiver em movimento para deslizar.	Presiona [button_crouch] al moverte para deslizarte.	Wciśnij i przytrzymaj [button_crouch], aby wykonać wślizg.	在移動時按住 [button_crouch] 就能滑行。	Hareket halindeyken [button_crouch] düğmesini basılı tutarak kay.	Håll [button_crouch] medan du Rör Dig för att glida.		Удерживайте кнопку действия, чтобы скользить.
lp_volcano_slider2_sh	While sliding, you can damage enemies\nand break obstacles.	スライディング中　敵や障害物に\nダメージを与えることができるわ	Mientras te deslizas, puedes hacer daño a\nenemigos y romper obstáculos.	Beim Rutschen kannst du Gegner angreifen und Hindernisse zerstören.		Mentre Scivoli, puoi danneggiare i nemici\ne gli ostacoli.	Enquanto estiver deslizando, você pode danificar inimigos\ne quebrar obstaculos.	Al deslizarte podrás dañar enemigos\ny romper obstáculos.	Podczas wślizgu możesz zadawać obrażenia\nprzeciwnikom i niszczyć przeszkody.	滑行時，你可以攻擊敵人\n並打碎障礙物。	Kayma hareketi yaparken düşmanlara hasar verebilir ve engelleri kırabilirsin.	När du glider så kan du skada fiender\noch bryta hinder.		Во время скольжения вы можете наносить\nурон врагам и препятствиям.
lp_fire_gaze_sh	Press [button_action] while Jumping\nto attack straight down!	ジャンプ中に [button_action] を押すと\n真下に攻撃することができるわ！	¡Pulsa [button_action] en el aire para\nrealizar un pisotón que hace daño!	Drücke [button_action] in der Luft, um zu Stampfen!		Premi [button_action] mentre Salti per andare dritto in giù!	Aperte [button_action] durante um pulo para descer reto!	¡Presiona [button_action] mientras saltas\npara dar un pisotón!	Wciśnij [button_action] podczas Skakania,\naby zaatakować prosto w dół!	跳躍時按下 [button_action] ，\n就能垂直向下攻擊！	Zıplarken [button_action] tuşuna basarak doğrudan aşağı doğru saldır!	Tryck på [button_action] medan du Hoppar för att attackera rakt ner!		Нажмите кнопку действия во время прыжка,\nчтобы атаковать прямо вниз!
lp_down_cancel_sh	If you get knocked back, press [button_jump],\nand you'll flip back upright in no time!	ダメージで吹き飛ばされている間に [button_jump] を押すと\nすぐに体勢を立て直すことができるわ	¡Si recibes daño, pulsa [button_jump]\ny recuperarás el control de inmediato!	Falls du zurückgeschlagen wirst, drücke [button_jump],\ndamit du im Nu wieder aufrecht stehst!		Se vieni respinto, premi [button_jump],\ne ti rialzerai in piedi in un istante!	Caso seja jogado para trás, aperte [button_jump],\npara se recuperar!	¡Si te derriban, presiona [button_jump] y\nte levantarás de inmediato!	Jeśli zostaniesz powalony, wciśnij [button_jump],\naby wstać od razu na nogi!	被攻擊打飛時，\n按下 [button_jump] 就能立刻重整姿態！	Geriye doğru savrulursan, [button_jump] tuşuna\nbas ve anında tekrar dik pozisyona geçersin!	Om du blir bakåtslagen, tryck på [button_jump],\nså ställs du upp på nolltid!		Если вас отбросит назад от удара,\nнажмите кнопку прыжка, чтобы сразу встать!
lp_backflip_sh	If you press [button_jump] while moving backwards,\nyou can leap back quickly.	後ろに移動中に [button_jump] を軽くちょんと押すと\n素早く　後ろに移動できるわ	Si pulsas [button_jump] mientras caminas hacia atrás,\npuedes dar una veloz voltereta en esa dirección.	Falls du im Rückwärtsgang [button_jump] drückst,\nkannst du schnell zurückspringen.		Se premi [button_jump] mentre ti stai muovendo all'indietro,\npuoi balzare all'indietro velocemente.	Se você apertar [button_jump] enquanto se move para trás,\nvocê pode se esquivar para trás rapidamente.	Si presionas [button_jump] mientras vas hacia atrás\npodrás saltar hacia atrás rápido.	Jeśli wciśniesz [button_jump] podczas cofania się, możesz szybko skoczyć do tyłu.	往後移動時，按下 [button_jump] 就能快速地往後跳。	Geriye doğru hareket ederken [button_jump]\ntuşuna basarsan, hızlıca geriye sıçrayabilirsin.	Om du trycker på [button_jump] medan du rör dig bakåt,\nså kan du hoppa bakåt snabbt.		Двигаясь назад, нажмите кнопку прыжка,\nчтобы сделать прыжок назад.
lp_splash_jump_sh	If you do a Jump Dash and hit a wall,\nyou can flip right over it.	ジャンプダッシュで壁に当てると\nそのまま壁を飛び越えることができるわよ	Si realizas un Acelerón Aéreo contra una pared,\nobtendrás algo de altura extra.	Wenn du einen Jump Dash ausführst und eine Wand triffst,\nkannst du darüber springen.		Se fai un Salto a Scatto e colpisci un muro,\n potrai saltarlo.	Se você fizer uma Investida e acertar uma parede,\nvocê realizará um pulo extra.	Si chocas contra una pared con un Arranque en salto,\npuedes saltarla.	Jeśli wykonasz Skok Pędowy i uderzysz nim w ścianę,\nmożesz przez nią przeskoczyć.	如果跳躍衝刺撞到牆，\n就能直接跳過去。	Eğer zıplayarak hızlanırken duvara çarparsan,\nduvarın üzerinden takla atabilirsin.	Om du gör en Hopprusning och träffar en vägg,\nså kan du volta rakt över den.		Если во время рывка в прыжке попасть\nв стену, то сможете преодолеть стену.
lp_quickstep_sh	(Press [button_step_left]/[button_step_right] while moving forward\nto quickly step left or right.)	「前進しながら [button_step_left] / [button_step_right] を押すと\n左右にステップするわ」	(Presiona [button_step_left] o [button_step_right] mientras avanzas para\ndar un Paso Rápido a izquierda o derecha.)	Drücke [button_step_left] [button_step_right] während du dich nach vorn bewegst,\num schnell nach links oder rechts zu schreiten.		Premi [button_step_left] [button_step_right] mentre ti muovi in avanti\nper fare un passo veloce a sinistra o a destra.	Aperte [button_step_left] [button_step_right] enquanto se move para frente\npara se deslocar rápidamente para a esquerda ou direita.	Presiona [button_step_left] o [button_step_right] mientras avanzas\npara dar un paso en esa dirección.	Wciśnij [button_step_left] [button_step_right] podczas ruszania się do przodu,\naby zrobić szybki krok w lewo lub prawo.	往前移動時，按下 [button_step_left]/[button_step_right] \n就能快速地移動至左或右。	İleri doğru hareket ederken sola veya sağa hızlıca adım atmak\niçin [button_step_left] [button_step_right] tuşlarına bas.	Tryck på [button_step_left]/[button_step_right] medan du rör dig framåt\nför att snabbt stega åt vänster eller höger.		Нажимайте кнопки """Шаг в сторону""" вправо или\nвлево во время движения вперёд, чтобы быстро\nсделать "Шаг в сторону" вправо или влево.
lp_quickslide_sh	(Hold [button_step_left]/[button_step_right] while moving forward\nto slide left or right.)	「前進しながら [button_step_left] / [button_step_right] を押し続けると\n左右にスライドするわ」	(Mantén presionado [button_step_left] o [button_step_right] mientras avanzas para\ndeslizarte a izquierda o derecha.)	Halte [button_step_left] [button_step_right] gedrückt, während du\ndich nach vorn bewegst, um nach links oder rechts zu rutschen.		Tieni premuto [button_step_left] [button_step_right] mentre ti muovi in avanti\nper scivolare a sinistra o a destra.	Aperte e segure [button_step_left] [button_step_right] enquanto se move para frente\npara deslizar para a esquerda ou direita.	Presiona y mantén [button_step_left] o [button_step_right] mientras avanzas\npara deslizarte en esa dirección.	Wciśnij i trzymaj [button_step_left] [button_step_right] podczas ruszania się do przodu,\naby ślizgać się w lewo lub prawo.	往前移動時，按住 [button_step_left]/[button_step_right] \n就能滑行至左或右。	İleri doğru hareket ederken [button_step_left] [button_step_right]\ntuşlarına basılı tutarak sola veya sağa kaydır.	Håll [button_step_left]/[button_step_right] nedtryckt medan du rör dig framåt\nför att glida åt vänster eller höger.		Нажимайте и удерживайте кнопки """Шаг в сторону"""\nвправо или влево во время движения вперёд,\тчтобы сделать скольжение вбок.
														
														
														
sand_oasis	Sand Oasis	サンド　オアシス	Oasis de Arena	Sand Oasis	Sand Oasis	Oasi Sabbiose	Sand Oasis	Oasis Arenoso	Piaszczysta Oaza	沙漠綠洲	Kum Vahası	Sandoas		Песчаный оазис
sand_oasis_description	A desert strewn about with ruins.	砂漠にひろがる遺跡群。	Un desierto cubierto de ruinas.	Die von Ruinen übersäte Wüste.	Un désert rempli de ruines.	Un deserto con rovine sparse dappertutto.	Um deserto repleto de ruínas.	Un conjunto de ruinas que se extiende por el desierto.	Pustynia usiana ruinami.	佈滿遺跡的沙漠。	Harabelerle dolu bir çöl.	En öken spridd med ruiner.		Руины, простирающиеся по пустыне.
oas_opening_so	First, let's find the king's palace.	まずは王宮を目指すんだよな	Busquemos el palacio del Sultán.	Lass uns zuerst den Palast des\nKönigs finden.	Trouvons d'abord le palais du roi.	Come prima cosa, troviamo il palazzo del re.	Pra começar, vamos achar o palácio do rei.	Primero, vayamos al palacio real.	Najpierw znajdżmy pałac króla.	首先，我們得找到王宮。	Önce kralın sarayını bulalım.	Först, låt oss hitta kungens palats.		Сначала нам надо\nв царский дворец, да?
oas_opening_sh	Yes, let's hurry!	そう　急ぎましょ！	Sí, ¡démonos prisa!	Genau, beeilen wir uns!	Dépêchons-nous !	Sì, sbrighiamoci!	Sim, vamos logo!	¡Sí, démonos prisa!	Tak, pośpieszmy się!	沒錯，我們得動作快！	Evet, hadi acele edelim!	Ja, låt oss skynda på!		Да! Надо поторопиться!
oas_pillar_sh	That pillar is being manipulated by magic! Look out!	魔法で柱が動き始めています!\n気をつけて！	¡Cuidado! ¡Están manipulando los pilares con magia!	Die Säulen werden durch\nZauberei bewegt! Sieh nur!	Ce pillier est manipulé par magie ! Attention !	Quel pilastro sta venendo manipolato dalla magia! Fai attenzione!	Aquele pilar está sendo manipulado por magia! Cuidado!	¡Los pilares se mueven por arte de magia!\n¡Cuidado con ellos!	Te filary są manipulowane przez magię! Uważaj!	小心！柱子被魔法操控住了！	O sütun sihirle manipüle ediliyor! Dikkat et!	Den där pelaren manipuleras av magi! Se upp!		Колонны начали двигаться из-за магии!\nБудь осторожен!
oas_uturn_sh	It's a dead end!	ちょっ　この先は壁よ！	¡Un callejón sin salida!	Hier geht's nicht weiter!	C'est une impasse !	È un vicolo cieco!	É um beco sem saída!	¡Hay una pared adelante!	To ślepy zaułek!	前面是死路啊！	Çıkmaz yol!	Det är en återvändsgränd!		Стой, впереди стена!
oas_uturn_so	Whoops! Time to make a U-turn!	ちょっとUターンするぜ	¡Ups! ¡Habrá que tomar una curva!	Huups! Kehrtwende!	Oups ! Temps de faire demi-tour !	Ops! Tempo di fare una inversione a U!	Oops! Hora de dar meia-volta!	Bueno, demos vuelta en U.	Ups! Czas na mały U-nik!	嗚哇！那就讓我迴轉一下！	Whoops! U dönüşü yapma zamanı!	Whoops! Dags att göra en U-sväng!		Развернусь немного!
oas_interior_sh	It should be cooler inside.	中は涼しいわね	Ahí dentro hará menos calor.	Drinnen ist es bestimmt kühler.	Il devrait faire plus frais à l'intérieur.	Dovrebbe essere più freddo all'interno.	Deve estar mais fresquinho aqui dentro.	Adentro debe estar más fresco.	Powinno być chłodniej w środku.	裡面應該會涼快點。	İçerisi daha serin olmalı.	Det borde vara svalare på insidan.		Внутри должно быть прохладно.
oas_interior_so	Um...Doesn't quite look like it.	そーでも無いみたいだぜ	Pues... Me da que no.	Ähm... Sieht nicht danach aus.	Euh... On dirait que non.	Em...Non sembra affatto cosí.	Hmm... Pelo visto não é o caso.	Sí... Parece que no.	Em... Nie do końca na to wygląda.	呃…看樣子並沒有。	Hımm... Pek öyle görünmüyor.	Um...Ser inte direkt ut som det.		Эм... Не похоже, что это так.
oas_sandfall_event_sh	Huh? What?	な　何！？	¿Eh? ¿Qué?	Hä? Was?	Hein ? Quoi ?	Eh? Cosa?	Hã? O quê?	¡¿Q-Qué?!	Hę? Co?	欸？什麼！？	Huh? Ne?	Huh? Vadå?		Ч-что?!
oas_sandfall_event_so	Woah!	うぉー！	¡Hala!	Woah!	Woah !	Woah!	Uou!	¡Guau!	Ło!!	嗚喔！	Woah!	Woah!		Оу!
oas_sandfall_event2_so	Ha!	は!	¡Ja!	Ha!	Ha !	Ha!	Há!	¡Ja!	Ha!	哈！	Ha!	Ha!		Ха!
oas_sandfall_event3_so	Whew! That was a close one!	ヒュー！ 危機一髮だったな	¡Buf! ¡Por los pelos!	Puh! Das war knapp!	Fiou ! Ce n'est pas passé loin !	Fiuu! C'è mancato poco!	Ufa! Essa foi por pouco!	¡Fiu! ¡Estuvo cerca!	Fiu! O mały włos!	呼！真是千鈞一髮呢！	Whew! Bu çok yakındı!	Whew! Det var nära ögat!		Уф-ф-ф! Ещё чуть-чуть, и я бы всё!
oas_pier_sh	Just past that pier is the town.	あの桟橋を過ぎれば　すぐ街よ	Tras cruzar el muelle, llegaremos a la ciudad.	Die Stadt liegt direkt hinter\ndem Steg.	La ville se trouve après cette jetée.	Dopo quel molo c'è la città.	Logo após aquele cais está a cidade.	Pasando ese muelle, estaremos en la ciudad.	Tuż za molo znajduje się miasto.	經過那個碼頭就到城鎮裡了。	İskelenin hemen ilerisinde kasaba var.	Precis förbi den där piren ligger byn.		За мостом сразу будет город.
oas_town_so	A town! The king's palace must be close!	マジ？　そろそろ王宮を近いのか？	¿La ciudad?\nEstamos cerca del palacio, ¿no?	Ne Stadt? Dann kann der Palast ja auch nicht mehr weit sein!	Une ville ! Le palais du roi doit être proche !	Una città! Il palazzo del re deve essere vicino!	Uma cidade! O palácio do rei deve estar por perto!	¿En serio?\n¿Estamos cerca del palacio real?	Miasto! Pałac króla musi być blisko!	是城鎮！那宮殿肯定就在附近了！	Bir kasaba! Kralın sarayı yakında olmalı!	En by! Kungens palats måste vara nära.		Город! Царский дворец совсем близко!
oas_palace_so	There it is! I see it!	見えた！あれだな	¡Ahí está! ¡Ya puedo verlo!	Da wären wir, Zeit "hallo" zu sagen!	Le voilà ! Je le vois !	Eccolo lí! Lo vedo!	Lá está! Posso vê-lo!	¡Ahí está! Ese es.	Tam jest! Widzę go!	看啊！就是那個吧！	İşte orada! Görüyorum!	Där är den! Jag ser den!		Я вижу! Это же он?
oas_palace_sh	That's the king's palace!	あれ!あれが王宮よ	¡Ese!\n¡Ese es su palacio!	Das ist der Palast des Königs!	C'est le palais du roi !	Quello è il palazzo del re!	Aquele é o palácio do rei!	¡Sí, el palacio real!	To pałac króla!	那個就是王宮了！	Bu kral'ın sarayı!	Det där är kungens palats!		Да! Это царский дворец!
oas_return_sh	Are you ready?	準備連動は済んだ?	¿Estás preparado?	Bist du bereit?	Prêt ?	Sei pronto?	Você está pronto?	¿Te sientes listo?	Jesteś gotów?	準備好了嗎？	Hazır mısın?	Är du redo?		Ты подготовился?
oas_return_so	Shahra!\nLet me show you just how fast I am!	シャーラ!今からオレのスピードみせてやるぜ！	¡Shara,\nte enseñaré lo rapido que puedo llegar a ser!	Shahra! Du wirst dich noch\nwundern, was schnell überhaupt heißt!	Shahra!\nLaisse-moi te montrer ma vitesse !	Shahra!\nLascia che ti mostri quanto sono veloce!	Shahra!\nDeixa eu te mostrar o quão rápido eu sou!	¡Shahra, te mostraré lo rápido que soy!	Shahra!\nTylko zobacz jaki jestem szybki!	夏拉！\n讓我秀給你看我有多快吧！	Shahra!\nSana ne kadar hızlı olduğumu göstereyim!	Shahra\nLåt mig visa dig precis hur snabb jag är!		Шахра!\nСейчас я покажу тебе свою скорость!
														
														
oas_boss_intro_so	Aha, he seems pretty tough.\nAll right, let's do this!	ふーん　強そうだな\nかかってきな！	¡Hum!, parece un rival formidable.\nAsí que, ¡a por todas!	Hm, der scheint mehr drauf zu haben als der Rest.\nAlso gut, los geht's!	Aha, il a l'air féroce !\n Allez, c'est parti !	Aha, sembra abbastanza forte.\nBene, facciamolo!	Hah, ele tem cara de durão.\nBeleza, vamos nessa!	¡Jum, se ve fuerte!\n¡Pues hagámoslo!	Aha, wygląda na twardziela.\nW porządku, zróbmy to!	啊哈，看樣子不好惹呢。\n好啊，來做吧！	Aha, çok güçlü görünüyor.\nPekala, hadi bunu yapalım!	Aha, han verkar ganska tuff.\nOkej, nu kör vi!		Хм, а ты, похоже, сильный.\nИди сюда!
oas_boss_hint1_sh	Watch out for its tail attack!	しっぽの攻撃に気をつけて！	¡Atento a sus ataques con la cola!	Nimm dich vor seinem Stachel in Acht!	Attention à sa queue !	Sta attento al suo attacco con la coda!	Cuidado com o ataque da cauda dele!	¡Cuidado cuando ataque con la cola!	Uważaj na jego atak ogonem!	小心它的尾巴攻擊！	Kuyruk saldırısına dikkat et!	Akta dig för dess svansattack!		Осторожно, он атакует хвостом!
oas_boss_hint2_sh	The big eyeball on its back seems to be its weak point!	あの　背中の大きな目玉が\n弱点みたいよ！	¡El globo ocular de su espalda parece ser su punto débil!	Das große Auge auf seinem Rücken ist seine Schwachstelle!	Le gros oeil rouge dans son dos semble être son point faible !	Quel grosso occhio sulla schiena sembra essere il suo punto debole!	Parece que esse olho gigante nas costas dele é o ponto fraco!	¡Ese gran ojo que tiene en la\nespalda parece ser su punto débil!	To wielkie oko na jego plecach wygląda na słaby punkt!	在它背上的大眼球似乎是它的弱點！	Sırtındaki büyük göz onun zayıf noktası gibi görünüyor!	Den stora ögongloben på dess rygg verkar vara dess svaga punkt!		Похоже, что эти огромные глаза\nна спине - его слабое место!
oas_boss_hint3_sh	Try using the scorpion's tail to reach the eye on its back!	あのサソリのシッポを使って\n背中の目玉まで行けないかしら？	¡Prueba ir por su cola para llegar al ojo de su espalda!	Versuche über den Stachel des Skorpions das Auge zu erreichen!	Essaie d'utiliser la queue du scorpion pour atteindre son dos !	Prova ad usare la coda dello scorpione per raggiungere l'occhio sulla schiena!	Tente usar a cauda do escorpião para chegar ao olho nas costas dele!	¿Podrás usar su cola para alcanzar\nel ojo de su espalda?	Spróbuj dotrzeć do oka skorpiona używając jego ogona!	利用蠍子的尾巴來攻擊背上的眼睛吧！	Akrebin kuyruğunu kullanarak sırtındaki göze ulaşmayı dene!	Försök använda skorpionens svans för att nå ögat på dess rygg!		Можно ли добраться до глаз на спине,\nесли использовать его хвост?
oas_boss_hint4_sh	That huge eye just has to be its weak point.	やっぱり　あの大きな目玉が\n弱点なんじゃないかしら…？	Ese ojo tiene que ser su punto débil...	Dieses große Auge da muss seine Schwachstelle sein.	Cet oeil énorme est forcément son point faible.	Quel grosso occhio deve essere il suo punto debole.	Aquele olho gigante só pode ser o ponto fraco.	Supongo que ese ojo de la\nespalda es su punto débil.	To ogromne oko musi jego słabym punktem.	那顆大眼球肯定是它的弱點。	O kocaman göz onun zayıf noktası olmalı.	Det stora ögat bara måste vara dess svaga punkt.		Всё-таки, наверное, эти огромные\nглаза - его слабое место.
oas_boss_hit1_sh	Look, it's working!	すごい\nかなりきいてるみたいよ ！	¡Genial!	Schau mal, es funktioniert!	Regarde, ça fonctionne !	Guarda, sta funzionando!	Olha, tá funcionando!	¡Genial! ¡Parece que eso funciona!	Spójrz, to działa!	看啊，奏效了！	Bak, işe yarıyor!	Titta, det funkar!		Молодец! Похоже, это сработало!
oas_boss_hit1_so	That's it! The eye is its weak point!	やっぱりな!\nあの目が弱点ってわけか！	¡Lo sabía! ¡El ojo es su punto débil!	Das ist es! Das Auge ist sein Schwachpunkt!	C'est ça ! L'oeil est son point faible !	Lo immaginavo! L'occhio è il suo punto debole!	Isso! O olho é o ponto fraco dele!	¡Lo sabia! ¡Ese ojo es su punto débil!	To jest to! Oko jest jego słabym punktem!	幹得好！眼球果然就是弱點！	İşte bu! Göz zayıf kısmı!	Det är det! Ögat är dess svaga punkt!		И правда! Эти глаза действительно\nего слабое место!
oas_boss_hit2_so	This guy just doesn't give up!	クッ　しぶとい野郎だぜ！	¡No se da por vencido!	Der Dicke hatte wohl noch nicht genug!	Ce type n'abandonne jamais !	Questo tipo non vuole proprio arrendersi!	Esse cara não desiste!	Mier... ¡Qué tipo más terco!	Gość się po prostu nie poddaje!	這傢伙就是不肯放棄欸！	Bu adam pes etmeyecek!	Den här killen ger sig bara inte!		Чёрт! Какой он крепкий!
oas_boss_hit3_so	Looks like he can't take much more of this!	そろそろ終わりにしようか！	¡Parece que no puede aguantar mucho más!	Nur noch ein bisschen!	On dirait qu'il n'en peut plus !	Sembra che non c'è la faccia più!	Parece que ele não vai durar muito!	¡Terminemos con esto rápido!	Najwidoczniej dłużej tego nie wytrzyma!	看樣子它很快就要被打倒了！	Anlaşılan daha fazla dayanamayacak!	Ser ut som att han inte klarar mycket mer av det här!		Давай уже покончим с этим!
oas_boss_hit4_sh	Just one more hit!	もう一息ね！	¡Solo queda un último golpe!	Ein Treffer noch!	Plus qu'un coup !	Solo un'altro colpo!	Só mais um acerto!	¡Sólo un poco más!	Jeszcze jeden cios!	再一擊！	Sadece bir vuruş daha!	Bara en till träff!		Ещё немного!
oas_boss_defeat_so	Sorry, but you were in my way.	悪いな\n後がつかえているんだ！	Siento derrotarte; ¡no haberte cruzado conmigo!	Sorry, man, aber du warst mir im Weg.	Désolé, mais tu étais sur mon chemin.	Scusami, ma mi stavi intralciando.	Foi mal, mas você estava no meu caminho.	¡Perdona, pero tengo algo de prisa!	Sory, ale stałeś mi na drodzę.	抱歉啦，但擋路的人是你。	Üzgünüm, ama yolumdaydın.	Förlåt, men du var i min väg.		Извини, но меня уже ждут!
														
oas_idle_heat_so	It's so hot! Even my quills are sweating!	あつっ、トゲがジリジリするぜ！	¡Qué calor! ¡Me sudan hasta las púas!	Es ist so heiß! Selbst meine Stacheln schwitzen!	Quelle chaleur ! Même mes épines suent !	Che caldo! Pure i miei aculei stanno sudando!	Tá tão quente! Até os meus espinhos estão suando!	¡Qué calor! ¡Se me queman las púas!	Ale upał! Nawet kolce mi się pocą!	好熱啊！就連我的刺也都是汗！	Çok sıcak! Tüylerim bile terliyor!	Det är så varmt! Även mina taggar svettas!		Жарко! У меня дрожат иглы.
oas_idle_shoes_so	Man, I've got sand in my shoes!	たく、靴の中が砂だらけだぜ！	¡Jo!, ¡tengo los zapatos llenos de arena!	Man, ich hab Sand in meinen Schuhen!	Ah, du sable est rentré dans mes chaussures !	Cavoli, Ho la sabbia nelle scarpe!	Mano, entrou até areia nos meus sapatos!	¡Rayos, se me metió arena a los zapatos!	O chłopie, mam piasek w butach!	哎呀，沙子都跑進鞋子裡了！	Adamım, ayakkabıma kum girmiş!	Åh, Jag har fått sand i skorna!		Да блин, у меня в обуви куча песка!
oas_idle_beach_sh	The beach is so...	浜辺がこんな…	Esta playa es tan...	Der Strand ist so...	La plage est si...	La spiaggia è cosí...	Essa praia é tão...	Esta playa es...	Ta plaża jest taka...	這座沙灘好…	Sahil çok...	Stranden är så...		Какой красивый пляж...
oas_idle_sandfall_so	A waterfall? Made of sand?	砂の滝?	Una cascada... ¿de arena?	Ein Wasserfall? Aus Sand?	Une chute... de sable ?	Una cascata? Fatta di sabbia?	Uma cachoeira? Feita de areia?	¿Un cascada de arena?	Wodospad? Z piasku?	這是瀑布？流的都是沙欸？	Bir şelale mi? Kumdan yapılma mı?	Ett vattenfall? Gjort av sand?		Песчаный водопад?
oas_idle_sandfall_sh	Stay clear. This is no time for a sand bath!	ちょっと、滝に見とれてる場合じゃないでしょ！	¡Concéntrate, Sonic! ¡No es momento de tumbarse en la arena!	Bleib davon fern. Wir haben keine Zeit für ein Sandbad!	Attention, ce n'est pas le moment pour un bain de sable !	Fai il serio. Non è il momento di fare un bagno di sabbia!	Concentre-se. Não é hora de tomarmos banho de areia!	¡Oye, no es momento de admirar la cascada!	Ostrożnie. To nie czas na kapięl piaskową!	別太靠近了。現在沒有時間泡沙浴！	Uzak dur. Kum banyosu yapmanın zamanı değil!	Håll dig undan. Nu är ingen tid för ett sandbad!		Да блин!\nСейчас не время любоваться водопадом!
														
														
														
dinosaur_jungle	Dinosaur Jungle	ダイナソー　ジャングル	Jungla Jurásica	Dinosaur Jungle	Dinosaur Jungle	Giungla dei Dinosauri	Dinosaur Jungle	Dino Jungla	Dżungla Dinozaurów	恐龍叢林	Dinazor Ormanı	Dinosauriejungel		Джунгли динозавров
dinosaur_jungle_description	A forest dominated by ancient beasts.	恐竜が支配する森。	Un bosque dominado por bestias ancestrales.	Im Wald der Steinzeittiere.	Une forêt dominée par des bêtes anciennes.	Una giungla dominata da creatura antiche.	Uma floresta dominada pelas bestas ancestrais.	Una jungla dominada por dinosaurios.	Las opanowany przez starożytne bestie.	被恐龍支配的森林。	Antik canavarların egemen olduğu bir orman.	En skog dominerad av uråldriga odjur.		Лес, в котором господствуют динозавры.
din_event_trio_so	Whoa! Something's after us!	ウワォ！　なんか追ってきたぜ！	¡Eh! ¡Algo nos persigue!	Woah! Wir werden verfolgt!	Whoa ! Quelque chose nous suit !	WHOA! Qualcosa ci sta inseguendo!	Uou! Tem alguma coisa atrás da gente!	¡Guau! ¡Algo nos persigue!	Łoł! Coś nas goni!	嗚喔！有什麼東西在追我們！	Vay canına! Peşimizde birileri var!	Whoa! Nått är efter oss!		А-а-а! За мной кто-то гонится!
